nickname,first_name,last_name,born,total_winnings,country
flyfly,Jin,Zhiyi,1996,763190,China
Emo,Zhou,Yi,2001,676184,China
JT-,Thiay,Wen,1998,698488,Malaysia
Fade,Pan ,Yi,1996,680497,China
Oli,Chan Chon,Kien,1996,691949,Malaysia
Yatoro,Illya,Mulyarchuk,2003,3727985,Ukraine
TORONTOTOKYO,Alexander,Khertek,1997,3731402,Russia
Collapse,Magomed,Khalilov,2002,3730350,Russia
Mira,Miroslaw,Kolpakov,1999,3714918,Ukraine
Miposhka,Yaroslav,Naidenov,1997,3970064,Russia
SumaiL,Syed Sumail,Hassan,1999,3835335,Pakistan
Nisha,Micha,Jankowski,2000,1694101,Poland
iceiceice,Daryl,Koh Pei Xiang,1990,1804873,Singapore
YapzOr,Yazied,Jaradat,1994,2296326,Jordan
Puppey,Clement,Ivanov,1990,3629111,Estonia
zai,Ludwig,Wahlberg,1997,3271084,Sweden
MATUMBAMAN,Lasse Aukusti,Urpalainen,1995,4527987,Finland
Ceb,Sebastien Felix Albert,Debs,1992,5776356,France
ana,Anathan ,Pham,1999,6008163,Australia
Topson,Topias Miikka,Taavitsainen,1998,5693012,Finland
JerAx,Jesse ,Vainikka,1992,6487080,Finland
N0tail,Johan ,Sundstein,1993,7176371,Denmark
Taiga,Tommy ,Le,1998,302311,Norway
Yuragi,Artem ,Golubiev,2001,25467,Ukraine
bzm,Bozhidar ,Bogdanov,2005,26293,Bulgaria
ATF,Ammar ,Al-Assaf,2005,31226,Jordan
Misha,Mikhail ,Agatov,1997,53056,Russia
Somnus,Lu ,Yao,1995,3176880,China
xNova,Yap Jian,Wei,1997,1940725,Malaysia
fy,Xu ,Linsen,1995,3069338,China
Chalice,Yang ,Shenyi,1998,1908374,China
Ame,Wang ,Chunyu,1997,3479837,China
NothingToSay,Cheng Jin ,Xiang,2000,1220251,Malaysia
Faith_bian,Zhang ,Ruida,1998,3284341,China
XinQ,Zhao ,Zixing,1998,1396707,China
y,Zhang ,Yiping,1998,3302841,China
Miracle-,Amer ,Al-Barkawi,1997,4828334,Jordan
w33,Aliwi ,Omar,1995,2292075,Romania
MinD_ContRoL,Ivan,Borislavov,1995,4613488,Bulgaria
GH,Maroun ,Merhej,1995,4221843,Lebanon
KuroKy,Kuro Salehi ,Takhasomi,1992,5236092,Germany
miCKe,Michael ,Vu,1999,293066,Sweden
Boxi,Samuel ,Svahn,1998,299786,Sweden
iNSaNiA,Aydin ,Sarkohi,1994,302385,Sweden
